Normale X,Normale Y,Normale Z,S1 X,S1 Y,S1 Z,S2 X,S2 Y,S2 Z,S3 X,S3 Y,S3 Z
-690.16376,420.48578,1141.9159,-185.429,94.75148,-73.99561,-139.3333,99.89192,-48.02864,-169.2359,121.33,-73.99561
-816.8773,497.68665,1021.5614,-185.429,94.75148,-73.99561,-169.2359,121.33,-73.99561,-214.7396,109.7288,-104.7301
-945.9984,576.3547,1183.0361,-214.7396,109.7288,-104.7301,-169.2359,121.33,-73.99561,-195.9869,140.5085,-104.7301
-1075.1287,655.02795,1021.6244,-214.7396,109.7288,-104.7301,-195.9869,140.5085,-104.7301,-240.0511,122.6626,-139.6599
-1201.8539,732.23694,1142.0426,-240.0511,122.6626,-139.6599,-195.9869,140.5085,-104.7301,-219.088,157.0703,-139.6599
-1323.785,806.52423,957.1503,-240.0511,122.6626,-139.6599,-219.088,157.0703,-139.6599,-241.879,165.3212,-178.1334
-56.718998,23.819965,295.254,-42.60833,14.25235,-3.072789,-40.00822,20.44361,-3.072789,-84.42316,28.23928,-12.23393
-112.38172,47.196243,585.0094,-84.42316,28.23928,-12.23393,-40.00822,20.44361,-3.072789,-79.27137,40.5065,-12.23393
-184.97606,77.68323,563.01373,-84.42316,28.23928,-12.23393,-79.27137,40.5065,-12.23393,-124.6658,41.70031,-27.31282
-273.15005,114.71424,831.38995,-124.6658,41.70031,-27.31282,-79.27137,40.5065,-12.23393,-117.0582,59.81504,-27.31282
-375.2615,157.59778,783.4252,-124.6658,41.70031,-27.31282,-117.0582,59.81504,-27.31282,-162.5867,54.38476,-48.02864
-489.4088,205.53188,1021.729,-162.5867,54.38476,-48.02864,-117.0582,59.81504,-27.31282,-152.6652,78.00964,-48.02864
-613.4667,257.63113,940.1479,-162.5867,54.38476,-48.02864,-152.6652,78.00964,-48.02864,-197.4799,66.0564,-73.99561
-745.12445,312.92548,1141.9141,-197.4799,66.0564,-73.99561,-152.6652,78.00964,-48.02864,-185.429,94.75148,-73.99561
-881.9288,370.37836,1021.55756,-197.4799,66.0564,-73.99561,-185.429,94.75148,-73.99561,-228.6953,76.49787,-104.7301
-1021.3356,428.92142,1183.0372,-228.6953,76.49787,-104.7301,-185.429,94.75148,-73.99561,-214.7396,109.7288,-104.7301
-1160.7494,487.46985,1021.626,-228.6953,76.49787,-104.7301,-214.7396,109.7288,-104.7301,-255.6518,85.51473,-139.6599
